Date,City,Session,Outlet,Restaurant,ItemName,Quantity,MasterID
31-05-2017,BN,Dinner,MTP,Vasudev Adigas,Rice Bath Combo,1,1397
31-05-2017,BN,Dinner,MTP,Nandhana,SPL New Nellore Chicken Biryani & Chikcen Kabab,3,1648
31-05-2017,BN,Dinner,APT,Vasudev Adigas,Bisibele Bath Combo,1,1358
31-05-2017,BN,Dinner,MTP,Vasudev Adigas,Bisibele Bath Combo,1,1358
31-05-2017,BN,Dinner,APT,Nandhana,SPL New Hyderabadi Biryani & Chili Chicken,3,1647
31-05-2017,BN,Dinner,MTP,Nandhana,SPL New Hyderabadi Biryani & Chili Chicken,2,1647
31-05-2017,BN,Dinner,MTP,Nandhana,New Nellore Mutton Biryani & Lemon Chicken,1,1226
31-05-2017,BN,Dinner,APT,Anjappar Koramangala,SPL Chettinadu Chicken Biryani Combo,2,1653
31-05-2017,BN,Dinner,APT,Anjappar Koramangala,SPL Plain Parota & Chettinad  Chicken Masala,1,1644
31-05-2017,BN,Dinner,APT,Vasudev Adigas,Rice Bath Combo,1,1397
31-05-2017,BN,Dinner,ADS,Nandhana,New Simple Andhra Meal Veg,1,1223
31-05-2017,BN,Dinner,ADS,Nandhana,SPL New Nellore Chicken Biryani & Chikcen Kabab,1,1648
31-05-2017,BN,Dinner,APT,Nandhana,New Simple Andhra Meal Veg,1,1223
31-05-2017,BN,Dinner,APT,Nandhana,SPL New Nellore Chicken Biryani & Chikcen Kabab,2,1648
31-05-2017,BN,Dinner,APT,Vasudev Adigas,Set Dosa - 3 Pcs,1,1374
31-05-2017,BN,Dinner,APT,Nandhana,New Nellore Mutton Biryani & Lemon Chicken,2,1226
31-05-2017,BN,Dinner,MTP,Delhi Highway Banglore,Shahi Paneer Combo,2,410
31-05-2017,BN,Dinner,MTP,Delhi Highway Banglore,Mix veg Paratha Combo ,1,402
31-05-2017,BN,Dinner,MTP,Delhi Highway Banglore,Matar Paneer Combo,1,406
31-05-2017,BN,Dinner,APT,Delhi Highway Banglore,Matar Paneer Combo,1,406
31-05-2017,BN,Dinner,APT,Delhi Highway Banglore,Mix veg Paratha Combo ,1,402
31-05-2017,BN,Dinner,APT,Delhi Highway Banglore,Shahi Paneer Combo,2,410
31-05-2017,BN,Dinner,ADS,Delhi Highway Banglore,Shahi Paneer Combo,2,410
31-05-2017,BN,Dinner,ADS,Delhi Highway Banglore,Mix veg Paratha Combo ,1,402
31-05-2017,BN,Dinner,ADS,Delhi Highway Banglore,Matar Paneer Combo,1,406
31-05-2017,BN,Dinner,MTP,Anjappar Koramangala,Veg Kothu Parota & Veg Kurma,2,369
31-05-2017,BN,Dinner,MTP,Anjappar Koramangala,SPL Chicken Biryani & Chicken 65,3,1651
31-05-2017,BN,Dinner,MTP,Vasudev Adigas,Set Dosa - 3 Pcs,2,1374
31-05-2017,BN,Dinner,APT,Anjappar Koramangala,Egg Biryani & Plain NV gravy,3,384
31-05-2017,BN,Dinner,ADS,Anjappar Koramangala,SPL Chicken Biryani & Chicken 65,2,1651
31-05-2017,BN,Dinner,APT,Anjappar Koramangala,SPL Chicken Biryani & Chicken 65,2,1651
31-05-2017,BN,Dinner,APT,Anjappar Koramangala,Veg Kothu Parota & Veg Kurma,1,369
31-05-2017,BN,Dinner,ADS,Anjappar Koramangala,Veg Kothu Parota & Veg Kurma,1,369
31-05-2017,BN,Dinner,MTP,Nandhana,New Simple Andhra Meal Veg,2,1223
31-05-2017,BN,Dinner,APT,Vasudev Adigas,Mini Idly,1,1347
31-05-2017,BN,Dinner,MTP,Vasudev Adigas,Mini Idly,1,1347
31-05-2017,BN,Dinner,ADS,Vasudev Adigas,Mini Idly,1,1347
31-05-2017,BN,BreakFast,BMR,Vasudev Adigas,Poori Sagu ,4,1373
31-05-2017,BN,BreakFast,BMR,Vasudev Adigas,Set Dosa - 3 Pcs,3,1374
31-05-2017,BN,BreakFast,BMR,Vasudev Adigas,Rava Idli Kesaribath Combo,1,1363
31-05-2017,BN,BreakFast,BMR,Vasudev Adigas,Thatte Idly with Vada,1,1351
31-05-2017,BN,BreakFast,BMR,Vasudev Adigas,Pongal,4,1378
31-05-2017,BN,BreakFast,BMR,Vasudev Adigas,Mini Onion Dosa combo,2,1354
31-05-2017,BN,Lunch,BMR,Vasudev Adigas,Simple veg meal,1,1359
31-05-2017,BN,Lunch,BMR,Vasudev Adigas,Grilled Veg Sandwich,2,1375
31-05-2017,BN,Lunch,BMR,Vasudev Adigas,Grilled Paneer Sandwich,2,1377
31-05-2017,BN,Lunch,BMR,Vasudev Adigas,Rice Bath Combo,2,1397
31-05-2017,BN,Lunch,BMR,Vasudev Adigas,Pav Bhaji with extra pav,2,1659
31-05-2017,BN,Lunch,BMR,Vasudev Adigas,Poori Sagu and Rice Bath,1,1453
31-05-2017,BN,Lunch,BMR,Vasudev Adigas,Puliogare combo,1,1357
31-05-2017,BN,Lunch,BMR,Vasudev Adigas,Bisibele Bath Combo,2,1358
31-05-2017,BN,Lunch,BMR,Anjappar Koramangala,Chicken Biryani & Chicken 65,3,360
31-05-2017,BN,Lunch,BMR,Anjappar Koramangala,Egg Biryani & Plain NV gravy,5,1146
31-05-2017,BN,Lunch,BMR,Anjappar Koramangala,Veg Kothu Parota & Veg Kurma,1,369
31-05-2017,BN,Lunch,BMR,Anjappar Koramangala,Chicken Biryani Mega Meal,1,380
31-05-2017,BN,Lunch,BMR,Anjappar Koramangala,Plain Parota & Karaikudi Chicken Masala,2,1143
31-05-2017,BN,Lunch,BMR,Anjappar Koramangala,Chettinadu Chicken Biryani Combo,3,385
31-05-2017,BN,Lunch,BMR,Nandhana,New Hyderabadi Biryani & Chili Chicken,1,1224
31-05-2017,BN,Lunch,BMR,Nandhana,New Chapati & Veg Biryani,2,1402
31-05-2017,BN,Lunch,BMR,Nandhana,New Nellore Chicken Biryani & Chikcen Kabab,1,1225
31-05-2017,BN,Lunch2,BMR,Vasudev Adigas,Pav Bhaji,4,1654
31-05-2017,BN,Lunch2,BMR,Vasudev Adigas,Samosa Masala,1,1657
31-05-2017,BN,Lunch2,BMR,Vasudev Adigas,Cutlet Masala,1,1658
31-05-2017,BN,Lunch,BMR,Nandhana,New Natu Kodi Biryani & Chicken Pepper Roast,1,1398
31-05-2017,BN,Lunch,BMR,Nandhana,New Hyderabad Mutton Biryani & Chilli Chicken,1,1399
31-05-2017,BN,Lunch2,BMR,Nandhana,New Hyderabadi Biryani & Chili Chicken,6,1224
31-05-2017,BN,Lunch2,BMR,Nandhana,New Natu Kodi Biryani & Chicken Pepper Roast,7,1398
31-05-2017,BN,Lunch2,BMR,Nandhana,New Nellore Chicken Biryani & Chikcen Kabab,7,1225
31-05-2017,BN,Lunch2,BMR,Nandhana,New Chapati & Veg Biryani,4,1402
31-05-2017,BN,Lunch2,BMR,Vasudev Adigas,Grilled Cheese Sandwich,2,1376
31-05-2017,BN,Lunch2,BMR,Nandhana,New Chicken Masala & Chapati,6,1213
31-05-2017,BN,Lunch2,BMR,Vasudev Adigas,Mini Onion Dosa combo,2,1354
31-05-2017,BN,Lunch2,BMR,Vasudev Adigas,3 Idly Sambar ,2,1343
31-05-2017,BN,Lunch2,BMR,Vasudev Adigas,Rava Idli Kesaribath Combo,1,1363
31-05-2017,BN,Lunch2,BMR,Vasudev Adigas,Thatte Idly with Vada,1,1351
31-05-2017,BN,Lunch2,BMR,Vasudev Adigas,Mini Idly with Vada,2,1350
31-05-2017,BN,Lunch2,BMR,Vasudev Adigas,Grilled Veg Sandwich,3,1375
31-05-2017,BN,Lunch2,BMR,Vasudev Adigas,Grilled Paneer Sandwich,2,1377
31-05-2017,BN,Lunch2,BMR,Vasudev Adigas,Set Dosa - 3 Pcs,3,1374
31-05-2017,BN,Lunch2,BMR,Vasudev Adigas,Podi Idly,3,1349
31-05-2017,BN,Lunch2,BMR,Vasudev Adigas,Pongal,2,1378
31-05-2017,BN,Lunch2,BMR,Vasudev Adigas,Rice Bath Combo,2,1397
31-05-2017,BN,Lunch2,BMR,Vasudev Adigas,Poori Sagu and Rice Bath,2,1453
